experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,delta_ece_weight_high_low,faith_delta_density_in,faith_delta_density_out,faith_delta_eta_in,faith_delta_eta_out,auc_adv_de_vs_eta,auc_adv_de_vs_random,stability_delta_density,stability_delta_eta
ce_paper_core_v1,classification,0,2,2000,400,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal400_modelrf_9691a7c3,-0.011412884010372187,0.029529116399445055,0.0412776766602474,nan,nan,-0.0045562500000000394,0.027468749999999986,0.0,0.0
ce_paper_core_v1,classification,0,2,2000,400,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal400_modelrf_d48768f1,-0.019047360787402323,0.017306212390263045,-0.06395233770676134,-0.5003311484618151,-0.05255354015134617,-0.00043124999999999414,0.03181874999999995,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modeldt_9cc4e7bc,-0.06311595732790637,-0.021099154703771827,0.001084745595466785,-0.5888395440120261,-0.06329630739724601,-0.017531250000000054,-0.0004124999999999823,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modeldt_a292e859,-0.1034372617168672,0.041820380197522364,-0.10940523625012866,nan,nan,-0.014643750000000011,-0.002343749999999978,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modeldt_cbb0c24a,-0.09993295418441774,0.05859094591419839,-0.13134511420784434,nan,nan,-0.01693125000000001,-0.005381250000000004,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modeldt_e19f51fd,-0.03491664339565224,-0.01819437898646581,0.004294935622708995,-0.762657040904217,-0.08988113691443456,-0.01550625,-0.0003750000000000697,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_01c3dabd,-0.06049451390609714,0.007344752956716438,-0.11032998041131259,nan,nan,-0.00798749999999998,0.018018750000000028,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_1d22e6f5,-0.04132847555121611,-0.01627866618216374,-0.07637933947800124,nan,nan,-0.0077062499999999146,0.015393749999999984,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_2d42bc9f,-0.04344319114280133,0.005087329567060178,-0.03962306505699498,nan,nan,0.001443749999999966,0.024056249999999946,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,100,2000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal100_modelrf_a4a95c54,-0.06735685481847555,0.03828283405751068,-0.08839793856598377,nan,nan,-0.009768749999999937,0.00886874999999998,0.0,0.0
