experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,threshold,signal,auc
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2653cdc3,t=0.3506,epistemic_density,0.3985375
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2653cdc3,t=0.3506,aleatoric_sigma,0.407425
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2653cdc3,t=0.3506,random,0.3823375
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2653cdc3,t=1.11,epistemic_de,0.41657500000000003
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2653cdc3,t=1.11,epistemic_density,0.42437499999999995
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2653cdc3,t=1.11,aleatoric_sigma,0.4035249999999999
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2653cdc3,t=1.11,random,0.40397500000000003
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=-0.6966,epistemic_de,0.39625000000000005
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=-0.6966,epistemic_density,0.3826375000000001
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=-0.6966,aleatoric_sigma,0.4244125
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=-0.6966,random,0.39388749999999995
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=0.1845,epistemic_de,0.407575
