experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,run_dir,baseline,bin,bin_edge_lo,bin_edge_hi,p_mean,acc_mean,count,acc_ci95
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6157bf78,surrogate_tree,10,0.9,1.0,1.0,0.2,5,0.3506154588719671
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6bd76b66,stump_on_proba,2,0.1,0.2,0.13009708737864242,0.10251450676982592,517,0.02614671793225282
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6bd76b66,stump_on_proba,8,0.7000000000000001,0.8,0.8000000000000067,0.8281573498964804,483,0.033643751543267895
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6bd76b66,surrogate_tree,1,0.0,0.1,0.0794560089970944,0.07228915662650602,415,0.024915804720658134
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6bd76b66,surrogate_tree,4,0.30000000000000004,0.4,0.34831460674157366,0.23157894736842105,95,0.08482882157166571
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6bd76b66,surrogate_tree,5,0.4,0.5,0.44232026143790854,0.3333333333333333,3,0.533444432872781
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6bd76b66,surrogate_tree,6,0.5,0.6000000000000001,0.5652173913043477,1.0,4,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6bd76b66,surrogate_tree,9,0.8,0.9,0.8229324474455051,0.8298319327731093,476,0.0337587765913825
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_6bd76b66,surrogate_tree,10,0.9,1.0,1.0,0.14285714285714285,7,0.25922962793631443
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",run_classification_seed0_dims2_ncal100_modeldt_a1dfe6aa,stump_on_proba,2,0.1,0.2,0.13030200203596862,0.12572533849129594,517,0.02857894235448405
