experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,delta_ece_weight_high_low,faith_delta_density_in,faith_delta_density_out,faith_delta_eta_in,faith_delta_eta_out,auc_adv_de_vs_eta,auc_adv_de_vs_random,stability_delta_density,stability_delta_eta
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_c2b7879e,-0.12811960196765246,0.02489428408976966,0.06718419906106166,-0.49103761562353754,-0.16736635701005176,-0.009899999999999964,0.0015750000000000486,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modeldt_cfaa4cd4,0.06834570031547857,0.05033408211521373,-0.012723684203801822,nan,nan,-0.016912499999999997,0.005025000000000002,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modeldt_d6685588,0.06768100714508785,0.04312649054656907,0.0028901525666256145,nan,nan,-0.016800000000000037,0.004500000000000004,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_0bdf60ee,-0.051986140560337776,0.08688662525813663,-0.062371612554351086,nan,nan,-0.0010124999999999718,0.023212500000000025,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_1553fee4,-0.06778473618970998,0.023741326289221112,-0.08956281508469044,nan,nan,0.004237500000000005,0.03063750000000004,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_1f74c6d4,0.04350599093067528,0.049548135298407084,-0.04431533915914676,nan,nan,0.004687500000000067,0.02718750000000003,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_2fe5580f,-0.031339349941898936,0.04449253713336654,-0.011783545050870647,nan,nan,0.0007500000000000284,0.03172500000000006,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_3c1f13f2,0.0056471281845829335,0.04656152178874373,-0.019277791297970748,nan,nan,-0.00011250000000001537,0.030374999999999985,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_3d0915e1,-0.025458310557827275,-0.015838976419827427,-0.02758572578382612,nan,nan,-0.007912499999999933,0.018750000000000044,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_3eb46890,-0.08539402784988558,0.061533519029416825,-0.06115507231846318,nan,nan,0.00033749999999987956,0.026662499999999867,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_43661b67,-0.05242718943570501,0.04189201504525812,-0.02159716291783731,nan,nan,-0.0022500000000000298,0.03408749999999994,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_482ecbac,0.04751962963240529,0.0001726222023931412,0.0005685557015541187,nan,nan,0.0032250000000000334,0.028350000000000042,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_4c3d018d,-0.06140751235680002,0.00099584698519109,-0.03623811665772969,nan,nan,-0.007237499999999897,0.019275000000000042,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_5b527cc5,-0.04024211088688456,0.04370701685547247,-0.09755135695331435,nan,nan,-0.0023250000000000215,0.019649999999999945,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_65ac3099,-0.09248391718839083,0.005588435674727638,-0.0389896672374882,nan,nan,-0.016237500000000016,0.02186249999999995,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_bbda1f6c,-0.005644373981413889,0.026805101310883567,-0.006795167430975635,nan,nan,0.0012000000000000344,0.027787499999999965,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_bf3e7132,-0.05350350030339095,0.03229910288676334,-0.11525126959041415,-0.27440865690433597,0.028048957136601826,-0.0035250000000000004,0.022537499999999988,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal100_modelrf_cfcedf6b,-0.07204090348551179,0.008157033135251762,-0.04866545018859236,nan,nan,-0.013949999999999907,0.02460000000000001,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_ded190ee,0.052567667801505104,0.05134635792273244,-0.004633854302131979,nan,nan,0.0077625000000000055,0.034312500000000024,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,large,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_f8cc61c2,-0.07226690237077148,0.06755194941339233,-0.06938560933199672,nan,nan,0.003562500000000024,0.03127500000000005,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,100,1000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 100}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal100_modelrf_fdd7e60d,-0.03145442862982082,0.0002401645163931515,-0.012236894004580057,nan,nan,-0.009750000000000036,0.016012499999999985,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal200_modeldt_1887272f,-0.07110951151248639,0.07915340606038074,0.011931745032367935,nan,nan,-0.00626250000000006,0.012149999999999883,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal200_modeldt_25db420d,-0.1112256705210169,0.04138408968278324,0.06632723210935831,nan,nan,-0.03063749999999993,-0.008774999999999977,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal200_modeldt_270e7854,-0.1112256705210169,0.04138408968278324,0.06632723210935831,nan,nan,-0.03063749999999993,-0.008774999999999977,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal200_modeldt_3db9d111,-0.12936815766309376,0.013982890080810686,0.01209735932508349,nan,nan,-0.024037499999999934,-0.0026249999999999885,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal200_modeldt_4e57ebc5,-0.0705694233684242,0.03206856187290971,-0.0037641893035001983,nan,nan,-0.023512500000000047,-0.0031875000000000653,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal200_modeldt_588b0fa7,-0.2284075969048522,0.06944801016242491,-0.008737023934280774,nan,nan,-0.0082124999999999,0.007350000000000023,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal200_modeldt_759ec53a,-0.08154134650877963,0.07701594771911845,0.006042136504388673,nan,nan,-0.009037499999999976,0.006599999999999995,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal200_modeldt_7eb8a9ba,-0.08496981872429088,0.05498091218331594,0.07185726982425278,nan,nan,-0.022462499999999996,-0.00011250000000001537,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed0_dims2_ncal200_modeldt_85c486bd,-0.08496981872429088,0.05498091218331594,0.07185726982425278,nan,nan,-0.022462499999999996,-0.00011250000000001537,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal200_modeldt_87742389,-0.08496981872429088,0.05498091218331594,0.07185726982425278,nan,nan,-0.022462499999999996,-0.00011250000000001537,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal200_modeldt_90ad3152,-0.06184558520732625,0.017906204627803544,0.027171159668152034,nan,nan,-0.02531250000000007,-0.006037500000000029,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal200_modeldt_c248a85e,-0.11194797109282183,0.01019260869251858,0.014590908151722704,nan,nan,-0.021412499999999945,0.0022500000000000853,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal200_modeldt_cf84594a,-0.05621983563680617,0.08493815890385056,0.010673308315060415,nan,nan,-0.010312500000000058,0.011099999999999999,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal200_modeldt_d5495258,-0.10081894029481242,0.0717869813663519,0.024282949327684045,nan,nan,-0.00566250000000007,0.016049999999999953,0.0,0.0
ce_uncertainty_v1,classification,0,2,1000,200,1000,0.2,large,dt,"{""max_depth"": 6}",venn_abers,,,,null,30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_classification_seed0_dims2_ncal200_modeldt_e71bb975,-0.13939800928852372,0.067391940136484,-0.008737023934280774,nan,nan,-0.008437500000000042,0.007574999999999998,0.0,0.0
